Source,Target,Type,Weight,Relationship
138,164,directed,1,[r:RETWEETS]
165,20,directed,1,[m:MENTIONS]
165,20,directed,1,[r:RETWEETS]
166,62,directed,1,[m:MENTIONS]
166,63,directed,1,[m:MENTIONS]
166,6,directed,1,[m:MENTIONS]
166,62,directed,1,[r:RETWEETS]
167,101,directed,1,[m:MENTIONS]
167,101,directed,1,[r:RETWEETS]
168,72,directed,1,[m:MENTIONS]
168,72,directed,1,[r:RETWEETS]
169,20,directed,1,[m:MENTIONS]
169,20,directed,1,[r:RETWEETS]
123,122,directed,1,[m:MENTIONS]
123,122,directed,1,[r:RETWEETS]
170,4,directed,1,[m:MENTIONS]
170,4,directed,1,[q:QUOTES]
170,4,directed,1,[r:RETWEETS]
171,8,directed,1,[m:MENTIONS]
171,9,directed,1,[m:MENTIONS]
171,8,directed,1,[r:RETWEETS]
172,6,directed,1,[m:MENTIONS]
172,6,directed,1,[r:RETWEETS]
173,6,directed,1,[m:MENTIONS]
173,6,directed,1,[r:RETWEETS]
174,175,directed,1,[m:MENTIONS]
174,57,directed,1,[m:MENTIONS]
174,176,directed,1,[m:MENTIONS]
174,175,directed,1,[r:RETWEETS]
175,57,directed,1,[m:MENTIONS]
175,176,directed,1,[m:MENTIONS]
177,6,directed,1,[m:MENTIONS]
123,72,directed,1,[m:MENTIONS]
123,72,directed,1,[r:RETWEETS]
178,164,directed,1,[m:MENTIONS]
178,164,directed,1,[r:RETWEETS]
179,6,directed,1,[m:MENTIONS]
180,18,directed,1,[m:MENTIONS]
180,18,directed,1,[r:RETWEETS]
82,107,directed,1,[m:MENTIONS]
82,107,directed,1,[r:RETWEETS]
13,181,directed,1,[m:MENTIONS]
183,184,directed,1,[m:MENTIONS]
185,6,directed,1,[m:MENTIONS]
185,6,directed,1,[r:RETWEETS]
186,12,directed,1,[m:MENTIONS]
186,12,directed,1,[r:RETWEETS]
187,117,directed,1,[m:MENTIONS]
187,117,directed,1,[r:RETWEETS]
188,41,directed,1,[m:MENTIONS]
188,40,directed,1,[m:MENTIONS]
188,41,directed,1,[r:RETWEETS]
189,6,directed,1,[m:MENTIONS]
15,112,directed,1,[m:MENTIONS]
190,103,directed,1,[m:MENTIONS]
190,6,directed,1,[m:MENTIONS]
190,103,directed,1,[r:RETWEETS]
103,6,directed,1,[m:MENTIONS]
191,6,directed,1,[m:MENTIONS]
191,192,directed,1,[q:QUOTES]
123,55,directed,1,[m:MENTIONS]
123,55,directed,1,[r:RETWEETS]
167,22,directed,1,[m:MENTIONS]
167,22,directed,1,[r:RETWEETS]
193,18,directed,1,[m:MENTIONS]
193,18,directed,1,[r:RETWEETS]
194,6,directed,1,[m:MENTIONS]
51,31,directed,1,[m:MENTIONS]
51,6,directed,1,[m:MENTIONS]
